"gene_name","module","color","kME_blue","kME_turquoise","kME_grey","kME_yellow","kME_brown","kME_green"
"RFX3","brown","brown",0.357943107019565,-0.253893975593442,0.185016759923055,-0.142161342126977,0.171928550232051,0.00536124304166996
"RFX3-AS1","blue","blue",0.254034388020271,-0.192981581997245,0.110963729435582,-0.110186480251481,0.185231348663659,0.0223067951929702
"GLIS3","brown","brown",0.2735728470178,-0.161236374726362,0.11720500305549,-0.0722724388641387,0.0535875911289024,-0.0219724832659086
"SLC1A1","turquoise","turquoise",-0.0600225312713042,0.162640832424402,0.0535597475952679,0.149248091518006,-0.0523372279533004,-0.0102961802880949
"SPATA6L","grey","grey",0.253027739996892,-0.147106252482486,0.144285594008162,-0.0484627117164061,0.0585897942966733,0.0329672263929291
"CDC37L1","turquoise","turquoise",-0.0508572884519284,0.133155188526234,0.0454554579871079,0.0811256002498918,-0.00316314873778235,0.0525240761826916
"AK3","grey","grey",0.0323387359702314,0.0517464570359335,0.0527730338507382,0.0342911270680325,0.0620577520745877,0.0202857239499262
"RCL1","grey","grey",0.138398322855352,-0.0599665205892671,0.0765309384406642,-0.0172181417126248,0.0897703116668632,0.0201662493896648
"JAK2","blue","blue",0.335705129658709,-0.191957566033986,0.151804589056129,-0.0579650777428788,0.0672524471921156,0.0142892052685244
"PLGRKT","grey","grey",0.137581232180465,-0.0978249027169709,0.0416617766643202,-0.0589048269555507,0.066951001197623,-0.00201303458785237
"RIC1","blue","blue",0.259302232155009,-0.160802567810541,0.154158762961029,-0.062119494720325,0.129991399158538,-0.0147796747062485
"ERMP1","grey","grey",-0.00247098619302743,0.0515483858927665,0.0359889734744705,0.0617366554426364,0.0380468779896711,-0.0079189511410193
"KIAA2026","grey","grey",0.168724804111959,-0.0714439069167719,0.0854478399218347,-0.0229743527266336,0.161920408822423,0.0259213420413181
"RANBP6","turquoise","turquoise",-0.256928668914928,0.333319692733755,-0.0402196888215295,0.257208737681647,-0.0707705767842773,-0.00452130343717138
