"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling (GO:1905114)","2/27",0.00800810651058956,0.0631750624724287,0,0,16.2244897959184,78.3204947866311,"CPE;VPS35","GO_Biological_Process_2023","blue"
"Clathrin-Dependent Endocytosis (GO:0072583)","2/27",0.00800810651058956,0.0631750624724287,0,0,16.2244897959184,78.3204947866311,"CLTC;CANX","GO_Biological_Process_2023","blue"
"Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429)","2/27",0.00800810651058956,0.0631750624724287,0,0,16.2244897959184,78.3204947866311,"HSP90AA1;HSP90AB1","GO_Biological_Process_2023","blue"
"Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234)","3/82",0.00807321977106542,0.063220434236652,0,0,7.7597546652747,37.3958321548795,"PINK1;FAIM2;GHITM","GO_Biological_Process_2023","blue"
"Golgi To Plasma Membrane Protein Transport (GO:0043001)","2/28",0.00859620747114401,0.0642289517216093,0,0,15.5996860282575,74.1988795836398,"NSF;PREPL","GO_Biological_Process_2023","blue"
"Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407)","2/28",0.00859620747114401,0.0642289517216093,0,0,15.5996860282575,74.1988795836398,"HSP90AA1;HSP90AB1","GO_Biological_Process_2023","blue"
"Protein Depolymerization (GO:0051261)","2/28",0.00859620747114401,0.0642289517216093,0,0,15.5996860282575,74.1988795836398,"STMN2;DSTN","GO_Biological_Process_2023","blue"
"Protein Insertion Into Mitochondrial Membrane (GO:0051204)","2/28",0.00859620747114401,0.0642289517216093,0,0,15.5996860282575,74.1988795836398,"MOAP1;HSP90AA1","GO_Biological_Process_2023","blue"
"Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158)","2/28",0.00859620747114401,0.0642289517216093,0,0,15.5996860282575,74.1988795836398,"SYT11;STXBP1","GO_Biological_Process_2023","blue"
"Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901)","2/28",0.00859620747114401,0.0642289517216093,0,0,15.5996860282575,74.1988795836398,"CALM3;CALM1","GO_Biological_Process_2023","blue"
"Purine Ribonucleotide Metabolic Process (GO:0009150)","3/84",0.00862416910440388,0.0642289517216093,0,0,7.56739213440244,35.9692273171892,"HSPA8;ACOT7;ATP1B1","GO_Biological_Process_2023","blue"
"Regulation Of Apoptotic Process (GO:0042981)","9/705",0.00877812501172556,0.0649215495658869,0,0,2.72887457370216,12.9225649307647,"MOAP1;HSP90AA1;PINK1;BEX1;UBB;FAIM2;VDAC1;RTN4;SOD1","GO_Biological_Process_2023","blue"
"Positive Regulation Of Protein Localization (GO:1903829)","3/85",0.00890772751370806,0.0654257227730971,0,0,7.47472969575057,35.2869739274349,"HSP90AB1;SYT11;RTN4","GO_Biological_Process_2023","blue"
"Regulation Of Striated Muscle Contraction (GO:0006942)","2/29",0.00920309747511436,0.0662249919661945,0,0,15.021164021164,70.4224490277819,"CALM3;CALM1","GO_Biological_Process_2023","blue"
"Response To Alcohol (GO:0097305)","2/29",0.00920309747511436,0.0662249919661945,0,0,15.021164021164,70.4224490277819,"TH;SOD1","GO_Biological_Process_2023","blue"
"Positive Regulation Of Dephosphorylation (GO:0035306)","2/29",0.00920309747511436,0.0662249919661945,0,0,15.021164021164,70.4224490277819,"CALM3;CALM1","GO_Biological_Process_2023","blue"
"Negative Regulation Of Neuron Death (GO:1901215)","3/88",0.00979099603066681,0.0697221388465826,0,0,7.2098241358399,33.3547523556272,"PINK1;VPS35;SOD1","GO_Biological_Process_2023","blue"
"Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020)","2/30",0.00982857782071015,0.0697221388465826,0,0,14.4839650145773,66.9515638793864,"CALM3;CALM1","GO_Biological_Process_2023","blue"
"Regulation Of Cytokine Production (GO:0001817)","4/167",0.00988548635289574,0.0697221388465826,0,0,5.04524539877301,23.2923219848272,"SYT11;GAPDH;PLD3;SOD1","GO_Biological_Process_2023","blue"
"Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138)","3/89",0.0100963507773187,0.0707408788016082,0,0,7.1256293454807,32.7464084691722,"HSP90AA1;PINK1;HSP90AB1","GO_Biological_Process_2023","blue"
"Regulation Of Protein Autophosphorylation (GO:0031952)","2/31",0.0104724512850622,0.0728964746313156,0,0,13.9838142153413,63.7523090878691,"CALM3;CALM1","GO_Biological_Process_2023","blue"
"Regulation Of Protein Phosphorylation (GO:0001932)","5/265",0.0106727356246052,0.0738082041571726,0,0,3.97570850202429,18.0499665195535,"PRNP;HSP90AA1;PINK1;TERF2IP;SOD1","GO_Biological_Process_2023","blue"
"Generation Of Neurons (GO:0048699)","4/172",0.0109278197077072,0.0749263050774552,0,0,4.89384920634921,22.1027933131365,"RTN3;MAP1B;DNER;RTN4","GO_Biological_Process_2023","blue"
"Positive Regulation Of Neuron Projection Development (GO:0010976)","3/92",0.0110454740818408,0.0749263050774552,0,0,6.88439708096838,31.0192655790006,"NDRG4;STMN2;SERPINI1","GO_Biological_Process_2023","blue"
"Positive Regulation Of Protein Catabolic Process (GO:0045732)","3/92",0.0110454740818408,0.0749263050774552,0,0,6.88439708096838,31.0192655790006,"NSF;HSP90AA1;VPS35","GO_Biological_Process_2023","blue"
"Purine Ribonucleoside Triphosphate Metabolic Process (GO:0009205)","2/32",0.0111345221222249,0.0750523168365158,0,0,13.5170068027211,60.795507674817,"HSPA8;ATP1B1","GO_Biological_Process_2023","blue"
"Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135)","3/93",0.0113729262286274,0.0761771473804289,0,0,6.80756013745704,30.4741766581,"HSP90AA1;PINK1;HSP90AB1","GO_Biological_Process_2023","blue"
"Positive Regulation Of Protein Phosphorylation (GO:0001934)","6/377",0.0116596853037354,0.0774337324369439,0,0,3.35992429890463,14.9570997826831,"PRNP;HSP90AA1;PINK1;HSP90AB1;CALM3;CALM1","GO_Biological_Process_2023","blue"
"Retrograde Transport, Endosome To Golgi (GO:0042147)","3/94",0.0117059445280263,0.0774337324369439,0,0,6.73241191797893,29.9434690042285,"PREPL;CLTC;VPS35","GO_Biological_Process_2023","blue"
"Positive Regulation Of Telomerase Activity (GO:0051973)","2/33",0.0118145960439168,0.0776700295479713,0,0,13.0803159973667,58.0559303610333,"HSP90AA1;HSP90AB1","GO_Biological_Process_2023","blue"
"Regulation Of T Cell Receptor Signaling Pathway (GO:0050856)","2/34",0.0125124802245356,0.0817533217124563,0,0,12.6709183673469,55.5116572102178,"PRNP;THY1","GO_Biological_Process_2023","blue"
"Monocarboxylic Acid Metabolic Process (GO:0032787)","3/97",0.0127385466637258,0.0822233026418739,0,0,6.51656064926519,28.4325537727779,"LDHB;LDHA;VDAC1","GO_Biological_Process_2023","blue"
"Endosomal Transport (GO:0016197)","4/180",0.012738821536065,0.0822233026418739,0,0,4.66950757575758,20.373533799992,"PREPL;CALY;CLTC;VPS35","GO_Biological_Process_2023","blue"
"Positive Regulation Of Multicellular Organismal Process (GO:0051240)","6/387",0.0131279386649067,0.0842244257718414,0,0,3.27006198693248,14.1692197832889,"APLP2;GNAS;ENO1;GAPDH;RTN4;SOD1","GO_Biological_Process_2023","blue"
"Regulation Of Regulated Secretory Pathway (GO:1903305)","2/35",0.0132279832722483,0.0843580969158352,0,0,12.2863327149041,53.1435584472206,"PREPL;SYT11","GO_Biological_Process_2023","blue"
"Regulation Of Organelle Organization (GO:0033043)","3/100",0.0138217578324638,0.0876200719736544,0,0,6.31406100542034,27.0337233788467,"PINK1;SYT11;VPS35","GO_Biological_Process_2023","blue"
"Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799)","2/36",0.0139609152364796,0.0879785486795902,0,0,11.9243697478992,50.9348693298221,"CALM3;CALM1","GO_Biological_Process_2023","blue"
