"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_yellow","kME_brown"
"H6PD","turquoise","turquoise",0.0610601257922003,-0.0931113643621823,0.00664434134583416,-0.0517829762177491,-0.00615253503527676
"SPSB1","turquoise","turquoise",0.133951074305859,-0.0466262524189436,-0.0359901743149279,-0.0124412866558248,0.0117293485420473
"SLC25A33","grey","grey",0.0215657615244448,0.0121760153909577,0.057101267983951,0.0516705650984296,0.0256708447973916
"TMEM201","grey","grey",-0.025204151300859,0.108532372031573,-0.0293740741386549,0.0531876861697618,0.0433832062632238
"PIK3CD","grey","grey",0.024917666689402,-0.0173522987844481,-0.0029131781055201,0.00218322568772576,0.0359645223844503
"CLSTN1","blue","blue",-0.105775986328085,0.418266415971112,-0.0289363493481814,0.156747648731289,0.00788871127593466
"CTNNBIP1","grey","grey",0.0592538532648757,0.0186280343119696,-0.0158066023761876,0.0441129663479532,0.0455819867440272
"LZIC","grey","grey",0.0220764562681813,0.0617224928234913,-0.0558529574218707,0.0553589510809918,0.0520123443637528
"NMNAT1","turquoise","turquoise",0.04389537453515,-0.0654175499448571,0.0501979772597778,-0.0566783673319243,-0.0106462669355428
"UBE4B","turquoise","turquoise",0.149281184402538,-0.0824929146618436,0.0250439806058265,-0.0504748934206468,0.0179095757411119
