"gene_name","module","color","kME_red","kME_brown","kME_blue","kME_grey","kME_yellow","kME_black","kME_turquoise","kME_pink","kME_green","kME_magenta"
"2010300C02Rik","brown","brown",0.11560976504843,0.217421584054097,0.0400137716142362,0.0653430958691361,-0.0748194609054425,-0.137295714457767,-0.106255852067586,0.157637792093667,0.106835386607545,0.140867963243036
"Tsga10","grey","grey",0.0799460035758175,0.0597230812150644,-0.0256751761655366,0.134851020524811,-0.0633291571842965,-0.00809427429725455,0.0554497241420275,0.00121066405385252,0.119212994736115,0.0523024422674086
"Mitd1","grey","grey",0.0501377756657556,0.0779877259552436,0.0255868058306746,0.0765803232487457,-0.0872143658439089,-0.0653588303286311,0.0181429182234132,0.00924673357430025,0.1082159845691,0.029788804857614
"Mrpl30","grey","grey",0.0173945466495274,0.0258217607498886,0.144723165266649,0.0177982618447942,-0.0203665682646366,-0.0376341407464685,-0.0128404668420146,0.0038028358414214,0.0143402730986651,0.000601183186769999
"Txndc9","grey","grey",-0.0362084361566701,-0.0612524608278537,0.0475739418015598,-0.00861483010827593,0.00655201058903443,0.0516051491496464,0.0478763594288277,-0.0509283169079356,-0.00870172523573808,-0.0537805671041337
"Eif5b","grey","grey",0.0204625685253219,-0.0238274367423933,0.0231027950634847,0.0847888627413027,-0.0217191248890533,0.0621006281161909,0.0748043559775323,-0.0399978200731952,0.0542291735196668,-0.0124040689509503
"Rev1","grey","grey",0.0377421026072627,0.101037103267913,-0.0291518842895236,0.241773962720205,-0.104956269484543,0.0184219569357459,0.101933354486079,-0.0229220243356427,0.216671229961258,-0.0162995342206485
"Aff3","brown","brown",0.192325336601181,0.391514221975125,-0.0639006596318261,0.117014308040509,-0.00778847648749117,-0.171841764880996,-0.221642279451907,0.312525411243124,0.168218141920657,0.187680603690365
"Gm16152","grey","grey",0.039821144870662,0.0856870319455747,-0.0157907381018533,0.04907838999204,-0.0511643701292981,-0.056724125271479,-0.0232712621866015,0.0301445523410828,0.0715804390848383,0.00309470425138928
"Lonrf2","black","black",-0.0430578136870727,-0.0905694301191126,-0.0421641088988716,0.0564015397511828,0.144341442593366,0.243394606838972,0.0839255501156194,-0.0106103011684536,-0.0330767783692336,0.00234553856617382
"Chst10","yellow","yellow",-0.051128534052833,0.0477598710359518,-0.0737604190246932,-0.108138753148912,0.210965663030029,0.0427737410171159,-0.158956928250254,0.171186913697259,-0.136601770831507,0.016019487123486
"Nms","yellow","yellow",-0.00246856077298922,-0.0861042648853943,-0.0783622477012433,-0.217625388829203,0.210950595208174,0.107490160567671,-0.1346576909815,0.104860422496465,-0.251730753932947,0.0986370329038843
