"gene_name","module","color","kME_pink","kME_grey","kME_black","kME_magenta","kME_turquoise","kME_green","kME_blue","kME_brown","kME_yellow","kME_purple","kME_salmon","kME_red","kME_greenyellow","kME_tan"
"Pkhd1","grey","grey",0.050936833020989,0.0754547950181919,0.00451796668477321,0.0252809302689131,0.016413456162674,0.0537909184415103,0.0172667343075883,-0.015972674219774,-0.000370466052686481,0.00740587135868965,0.0164070405615354,0.0275587613944573,0.0242913792671473,0.036982592648132
"Paqr8","pink","pink",0.162477795334274,0.0210716872336105,-0.0157189169243816,0.0955420993416665,-0.0189411106937109,0.0977732884003127,0.0410886894645903,-0.0213149633968225,0.0286371320149839,0.014691322177536,-0.122585931673885,-0.111208929434892,-0.0791664302712739,0.0841300762439968
"Tmem14a","grey","grey",-0.0217371779531778,-0.0235816076107847,-0.00243737753774466,-0.021909169733023,-0.00133270933899787,-0.0321331612944219,0.00119525905631404,0.0909075399179477,0.0850784734379635,-0.00334309421603018,-0.0135127493229788,0.00554014286514923,0.00373351265577681,0.00266265952859964
"Gsta3","grey","grey",-0.0186472806502662,0.0233319719159391,0.0362302099425737,0.035192650326141,0.0554686955332967,0.0114444201989065,-0.0398463442233439,-0.0114256377970365,-0.0426044387392676,-0.00158973197072496,-0.0338370720410932,0.0093988928950666,0.0265346427403542,0.0281809786541963
"Kcnq5","black","black",-0.0699561040660018,0.130261548370934,0.354130735340558,0.151037483668759,-0.161670806764395,-0.11509417868281,0.208677187836285,-0.0238236191761108,0.0626648112489301,0.324612426743261,-0.0276888491582273,-0.141051482696338,0.224738551283745,-0.227972089685395
"Rims1","turquoise","turquoise",-0.112919633260575,0.0542882194694244,0.222673537385288,0.187988888228413,0.523470418776466,0.176355268442076,-0.497685618624754,-0.0874365435622481,-0.313219025221973,-0.170699924143484,0.00551868691206402,0.254578801892369,0.333358417206705,0.311600085399494
"Ogfrl1","green","green",0.0714534934994139,0.0244141231080716,-0.0408818596572369,0.0347780372940736,0.063709861466479,0.112011022952643,-0.0348850091245718,0.0640193155959214,0.00970232091394895,-0.0565927938486781,-0.0297160730218441,0.0225813803776765,-0.00856311742679959,0.0867251488287576
"B3gat2","pink","pink",0.251123061998788,0.081197367554317,-0.0145506400875604,0.16353339037072,-0.0691009669636244,0.166500797188061,0.114150639778573,-0.0476573912712738,0.0173626730402604,0.0938508787125464,-0.0930622150637796,-0.0966286989490767,-0.0586456065779692,0.0878317870652985
"Smap1","grey","grey",0.0351990656616455,0.0802225123627274,-0.00402088412060735,0.0431664247135727,0.0529223245432555,0.0533019927637846,0.0117085481479449,0.00074203249530582,-0.00515643393485744,-0.00143185462816673,0.0152436403989351,-0.0048918116485897,-0.00524222951173287,0.0389014081439884
"Sdhaf4","grey","grey",-0.00671349793505794,-0.0253649556053027,0.0034022618351382,-0.00264219046639129,0.0114591746308116,-0.00777138913911059,-0.0179293184244895,0.140632211119207,0.0855367888721889,-0.00362984325418551,-0.0201053925097238,-0.0256076751002402,-0.0092436937535329,0.00454513027690722
"Fam135a","blue","blue",0.121422747008356,0.15739873098781,-0.0282428479465664,0.0580002644704505,-0.0169836076508192,0.0616223302750296,0.119871900741438,-0.074423177743892,-0.00557266069561084,0.0435257277757929,0.00177115130267749,-0.0337563765999241,-0.0438931045200868,0.0607004289230475
"Lmbrd1","grey","grey",0.0280379568898744,0.098114929633505,-0.0204936381387075,-0.0211796468241266,-0.00207786437758226,0.000858576813761053,0.0589754164487726,-0.0110277067890253,0.0555224814646253,-0.00556919872556995,0.018228191468007,0.048182691917309,0.0048642963427596,0.0410225433665526
"Adgrb3","turquoise","turquoise",-0.0604981691461235,0.0933714041085745,0.213775588490854,0.29575811698909,0.373277677440439,0.273142131422449,-0.275919504628399,-0.0912635413715799,-0.262057267711203,0.0400748012582377,0.268979827795632,0.0770789471398291,0.26067909866624,0.0185526174552941
"Phf3","blue","blue",0.0548548491311681,0.0425350502806046,0.00833975049612568,0.0195546379856044,-0.0857517585684522,0.0218368407708746,0.100064963460567,-0.0396717286173383,0.0377684113966645,0.0595139642345329,-0.000976077783202176,-0.0489501621788734,-0.0262690647324457,-0.0323287253286346
"Ptp4a1","grey","grey",0.0212674870906071,0.0097361896050078,0.0424171035179375,0.0522885371107131,0.0059498506608519,0.0402474947563603,0.0012749080746139,-0.026173937710101,-0.0232060140470902,0.0363588949730445,-0.0171628540510277,-0.0464881370342606,-0.0061536356667277,-0.0117073015230165
"Khdrbs2","purple","purple",0.209645929195507,0.13198871195166,0.475734409857972,0.50006078099888,-0.468724950572186,0.100403280256715,0.465867060530867,-0.147656276608577,0.101381436634526,0.744259815240625,-0.0132213759612489,-0.421815745563362,0.133948281933637,-0.411961123340114
"Prim2","grey","grey",0.024096726729558,0.074295882588552,0.0508211765512205,0.0350765438874233,-0.0304104426456388,0.0107351135376387,0.0577940294111293,-0.0506293289326015,0.0120129710109971,0.0613679456156947,0.0136129124697893,-0.00554882944344834,0.0464249137654747,-0.0205212040113925
"Rab23","grey","grey",-0.00985037626230532,0.0608716648963656,0.0179914201437551,0.0017896183760147,0.026767428014438,-0.00438419281149116,0.00232467293087865,-0.0367045378376021,-0.020855988782034,0.00450383747135984,0.0128053600329996,0.0233666930291584,0.0292640183904502,0.0127864179110893
"Bag2","grey","grey",0.00561069818065014,0.02043707431769,0.0186066118923235,0.0340488611410065,0.0305175044642168,0.0303960225155914,-0.0126324627380829,0.0292919934845699,-0.000499231929405454,0.00734136133275799,-0.0296780902215435,-0.0312386904180595,0.00393163945585749,0.0120570875149755
"Zfp451","grey","grey",0.0391753557606123,0.124736089621303,0.0221257332409829,0.0306791992522199,-0.0464883514115676,0.0188064365076438,0.0988063467152326,-0.0291355088682935,0.0270691880524174,0.0683652885383593,0.0216855056036686,-0.0143067986493618,0.0020259131565683,-0.020392203823803
