"gene_name","module","color","kME_yellow","kME_grey","kME_turquoise","kME_blue","kME_red","kME_black","kME_green","kME_brown","kME_pink"
"Creg2","grey","grey",-0.024143469395556,-0.107863459519965,0.131258199068603,-0.1279240868583,-0.0496872486169364,0.0193102877225821,0.127759197310313,0.0536756000091242,0.0436021974491746
"Map4k4","blue","blue",-0.126891761779942,0.189356488835235,-0.328937212266464,0.373165877359153,-0.073420276341439,-0.192723630598494,-0.0904343988451809,0.193926345304208,-0.119222118345878
"Gm16894","grey","grey",-0.0374898849967104,0.0110278389263648,-0.0875264295714683,0.0916682738192171,-0.0196421563931525,-0.0311247411347532,-0.018820447800349,0.0609282859195191,-0.0438276100505574
"Slc9a2","blue","blue",-0.0985007026829564,0.312157356092361,-0.534734871715585,0.585731192281062,-0.0927588678515922,-0.270155067127378,-0.296455254381725,0.131220473545785,-0.20295618322701
"Gm28175","turquoise","turquoise",0.109856959596346,-0.0693520302725535,0.180715093021885,-0.120934248339379,-0.0915304153995534,0.0120756568449192,0.0735314795720749,-0.0732122001985923,-0.0912812580178214
"Pantr1","turquoise","turquoise",0.0701070583430462,-0.146454732496265,0.312471526452244,-0.267905996017872,-0.0331298331210181,0.180874339665818,0.17781024180051,-0.0334689816742329,-0.103124350247423
"Pou3f3","turquoise","turquoise",0.0341152731937495,-0.103640330606375,0.20561648095805,-0.184746544502747,-0.0341604931884348,0.0816841953746082,0.134618323037073,-0.0149917120138652,-0.113174666175518
"Mrps9","yellow","yellow",0.170397537412334,0.0855105088886335,0.0589301578104224,-0.021718648331639,0.0135680936934355,0.0416107248533706,-0.0614195507041122,-0.0801102956775214,0.0227203127058519
"Gpr45","blue","blue",0.0220472860170889,0.150932432822477,-0.215876022430053,0.291641011626457,-0.141865526254872,-0.176961405025637,-0.125386530207475,0.0414188108959694,-0.0172787085420942
"Tgfbrap1","grey","grey",-0.00863833334868524,-0.0434336311935331,0.0448490398741794,-0.0547723788802995,0.00170379562223203,0.0224756491527552,0.0380483489693941,0.000109488969241402,0.0100997567147024
"AI597479","grey","grey",0.0471565664960851,0.0732362889922609,-0.0304036376000431,0.0462313000601735,0.0193153155246212,0.000462505394581592,-0.0551469956843938,-0.023037958666931,-0.0376130443645977
"Fhl2","turquoise","turquoise",0.0411268692404468,-0.0607324407152371,0.11003885426513,-0.0851523355815306,-0.0118008309721037,0.0700142396317799,0.0702700322919714,-0.00662345801671427,-0.00638696970236044
"Nck2","black","black",0.00107803809519615,0.0353090504959007,-0.0245765045881734,0.0452017107339022,0.111158198727057,0.299696890820513,-0.0643119103153286,-0.00575247009903691,-0.202525714448463
"Uxs1","grey","grey",0.0677339144467259,0.00289554681005865,0.0724708998995905,-0.0286781791422579,-0.081875035414096,0.00427712964354223,0.0124218160214697,-0.03000799437595,0.0706581207923173
"Tpp2","grey","grey",0.0545022749266242,0.0611991091201691,0.00886171702265424,0.0455969594863247,-0.0590156911349748,-0.0367771822591212,0.0275658629388423,0.0252082675793277,-0.0185829085447383
"Tex30","grey","grey",0.027654691517009,0.0196605432986033,-0.00170579325294258,0.00388680235100099,-0.0302965129115665,-0.0111365262972113,-0.0437055249604284,-0.026909933710477,0.0164760201570781
"Kdelc1","grey","grey",0.0121040385154335,-0.0205945473092791,0.0536228382178746,-0.0563584547360216,0.0187283201273199,0.0245021822237227,0.0374365219044353,0.0140513983565991,0.0297292233316968
"Bivm","grey","grey",-0.012186988415316,-0.00213753230511774,0.0360549160767919,-0.0321626114119473,0.0157603609334462,0.0132523581968151,0.0262399106891753,0.00900578226079458,0.0188462466605227
"Ercc5","grey","grey",0.000118388959450259,0.0192729793387762,0.0110286908453859,0.0125021048186161,0.0306694109987426,0.0277965576704716,0.0429118461937084,0.0254726437188128,-0.0313478120210177
"Gulp1","grey","grey",0.0367012346351559,0.165629172456369,-0.169759204997687,0.124077410538523,0.263670195371699,0.0701061575372527,-0.181589626118881,-0.0733425370767134,-0.0352163857216326
"Wdr75","grey","grey",0.040540024625047,0.0659117586289364,0.0152352914137711,0.00331501236717637,0.0297347652412582,0.0387649705781336,-0.00786496159763819,0.0203445859964652,0.0244457445614603
"Dnah7b","pink","pink",0.0185021700070794,-0.0659933303422966,0.13063891724507,-0.133526664384161,0.0226222564216174,0.0284798918059753,0.0770784282174578,-0.0242872298405064,0.383585760887247
"Dnah7c","pink","pink",0.0660187219418824,-0.00302524790749981,0.0938432258220944,-0.0770487373364539,0.0184156204065538,0.0402586399395281,2.30238237427193e-05,-0.0649119750266369,0.166462078739803
"Slc39a10","grey","grey",0.0772036168960913,0.0514194450900451,0.02340444709176,-0.0193077260073305,0.0854407819411832,0.0138434046185378,-0.0316978643238813,-0.0693929423271689,0.100051202349075
"Tmeff2","black","black",0.145762140008851,-0.0411093727082334,0.243122438618444,-0.271115136923981,0.307998131854118,0.436602900016178,0.00929121157039892,-0.198384157499426,0.343609150761901
"9330175M20Rik","grey","grey",0.0860424771435225,0.0518153679519602,0.052599125040102,-0.043983843170798,0.0496453371937942,0.0739367261334766,-0.0406955396266099,-0.0811300156984949,0.0583892953867429
"Nabp1","grey","grey",0.0428097267154401,-0.00447986648322498,0.0513573060825953,-0.0366294881846167,0.00378406780232414,0.0238121121096226,0.009273923183503,-0.031227317102112,0.108269494606281
"Gm28055","grey","grey",0.0533243674730207,0.000881028755291993,0.0751631590490411,-0.0541230515059894,0.0213162975984444,0.0244926469219637,0.0300041836847324,-0.0361148015792046,-0.00725715723198426
"Myo1b","grey","grey",-0.0366275127524521,-0.000838558294104981,-0.0207459170307891,0.012547428970575,0.0508760101515656,-0.00165181588634541,-0.000741882939393458,0.00870401690259005,-0.0130564771922336
"Stat1","grey","grey",0.0226929279376673,-0.00650979276943017,0.0502465883819355,-0.0593864161308342,0.089316074379166,0.0598202812358624,0.0327337749996305,-0.00521306378306661,0.0479506234876016
