"gene_name","module","color","kME_brown","kME_grey","kME_turquoise","kME_black","kME_magenta","kME_green","kME_cyan","kME_blue","kME_pink","kME_purple","kME_greenyellow","kME_yellow","kME_tan","kME_salmon","kME_red","kME_midnightblue"
"Gsta3","grey","grey",-0.0273608716709259,0.017184018748035,-0.0126116206234503,0.000661154718882745,0.0338526307691239,0.030356254219757,0.07016335134976,-0.0526744349278559,-0.0606144909745958,-0.0469386809247552,0.0832126439401786,-0.00613029973355765,-0.015344633122347,-0.011152658768846,0.0581152510266451,0.00303064656039083
"Kcnq5","grey","grey",0.0521352571556009,0.215868534683125,0.0138780166292058,0.222857636063644,0.319596417268822,0.0635510857192915,0.00668791096476299,0.0767115365295144,0.0528269299850156,0.259281423536973,0.00812419245628463,-0.198765676233099,0.264295626166125,0.21900469801258,-0.137306040158359,0.0142404540942192
"Rims1","greenyellow","greenyellow",0.0105258742111584,0.211507957051757,-0.0133552435888191,0.121694585741575,0.388873376092785,0.406207449363871,0.284395859082007,-0.333847987634918,-0.269557809092409,-0.0505270935270668,0.577043084422457,-0.0905521747579771,0.108377200550931,0.056576285457202,0.357728903303485,-0.0836703455292368
"Ogfrl1","grey","grey",0.0842074423506303,0.0292131750292895,0.063428452561777,0.0267320830344767,-0.0357746425599269,0.0852976943116109,0.00645484304805716,-0.0268247059623681,0.00628235746968479,-0.00361271423737351,0.0289283913618567,0.0426276408091106,-0.0474181157941103,-0.0657762026027645,0.0669351557275872,-0.00677491157464629
"B3gat2","brown","brown",0.225683857485141,0.0898178270957046,-0.00933645433403599,0.177674535926985,0.0350343123508238,0.20353755004988,-0.0593086657203783,0.0639016980573279,0.0122039646045718,0.1470383878611,0.00127930602026617,-0.0721662741560467,0.0754764343605143,0.0231856932934588,-0.0616906152809013,-0.106872883995103
"Smap1","grey","grey",0.068921503409225,0.143791782510922,0.02985378486165,0.0646106190049201,0.00613127613924106,0.0406766809423878,0.104854302987598,0.0846529353299105,0.0283444056899941,0.0714183971845644,0.0233088742528132,-0.0282029231115999,0.014947521101197,0.0634638992972548,0.0443478579442101,0.0524977436497243
"Sdhaf4","turquoise","turquoise",0.0227333219811629,0.0349927891746009,0.1903761593706,0.0168611423470381,-0.00412936767706198,0.0351543875675438,0.0168228029815068,-0.0298390770045773,0.0762211393880841,-0.0232259729411513,0.0364814918872507,-0.0218742552864996,-0.018701013968384,-0.0196020312684048,0.042464231409078,0.00678444002113981
"Fam135a","grey","grey",0.156396920235437,0.183404877061969,-0.0727032952271057,0.120724995669304,0.00841581524786854,0.0815725687594468,0.0383639785107694,0.163599372342083,0.000444669361362768,0.143714476250374,-0.0109058732766117,-0.0774530865117082,0.0640784875658673,0.0921320870596837,-0.0245639392961443,0.0122542319412239
"Lmbrd1","brown","brown",0.0716473000247002,0.0115863761193824,-0.0383631948229285,0.00171356931337099,-0.0646369110131864,0.048632641810207,-0.0122648984093157,0.0238207354273647,0.0400008554568591,0.00342726451109787,-0.00613228747616901,0.136077598978575,-0.0644386420380264,-0.0479928136599322,0.0608930912788106,-0.0127199728770767
"Adgrb3","greenyellow","greenyellow",0.108156019660346,0.331632989631481,-0.0107758887233898,0.330899343629345,0.387211437173799,0.384111615539489,0.168100587729741,-0.129816921289288,-0.186887508801609,0.179016131967979,0.514050455768012,-0.223205480112258,0.311201017161168,0.242004207515915,0.178853978814166,-0.285461434708265
"Phf3","purple","purple",0.102489661118149,0.0679108672890322,-0.0253931324103765,0.0712356466400445,-0.0255786047643484,0.0295016851310244,-0.0631387968662203,0.105674500168671,0.0327717049317907,0.101109503372912,-0.0570079056175748,0.0164208125133645,0.0258963612972641,0.0273342365479323,-0.0582566292031044,-0.030259545540037
"Ptp4a1","grey","grey",-0.0148830828273421,-0.0400610910651016,0.0123552360630556,-0.0405754440656284,-0.0111428176356074,-0.0225702797495434,0.0430128171382795,-0.0399492119555886,-0.0270515096110275,-0.0531321469013302,0.0218147923800191,0.118003823750476,-0.0090669836997449,-0.042941624776094,0.0321575818554935,-0.021236930233413
"Khdrbs2","tan","tan",0.243643062135012,0.338190668063966,-0.0817532787606414,0.589165568335075,0.463507826805932,0.208989714451997,-0.17144357244742,0.270787047008587,0.0993377680339549,0.605807663940185,-0.0163270122307778,-0.396612338501408,0.638913429432624,0.452953608096947,-0.473648670749311,-0.176616552977622
"Prim2","grey","grey",0.00680218301239272,0.0384931294242888,-0.0190909501723066,0.0421155422489819,0.0486924237433258,0.0234021649763021,-0.00594919591004152,0.0247996167937123,0.0306099815258034,0.0240425891567449,0.0115272094264836,0.00371128577430012,0.0611321388188093,0.0541930388779666,-0.0361374610321982,-0.0348417132066616
"Rab23","grey","grey",0.0569169994226331,0.0563332753508148,-0.00737212981890705,0.0894528004468309,0.0393016006319118,0.048176448609285,-0.0128059050954348,0.0329936790452988,-0.0302623032936068,0.06462406258359,0.00583672780664016,-0.0409767657457001,0.0512786673300458,0.0319003312448316,-0.0328001058620582,-0.0100488642928846
"Bag2","grey","grey",0.0124934415253551,0.0151729133588575,-0.00675742511524242,0.0495628510568018,0.0590230024636077,-0.0022723184858555,-0.0247445746884027,0.0107434294226037,0.014063680070895,0.0360249359996791,0.00135163944150238,-0.0369333747489636,0.0486099029397137,0.0442231754518784,-0.0411635124288296,-0.0299228271242473
"Zfp451","blue","blue",0.0370208076373389,0.0174063377609574,-0.0571271136359975,-0.0100987840991122,-0.0711184896479278,-0.0426914739707879,-0.0476720698339845,0.0966972064519313,0.0317430466356942,0.0200958827087951,-0.0790223498282322,0.0860884992164848,-0.0168622272579654,-0.00650439618324617,-0.0476180635096548,0.00982304933991698
"Bend6","greenyellow","greenyellow",0.0425761231115405,0.186408483337971,-0.00843461154503501,0.125197418006015,0.194869690664935,0.148008998725112,0.133006642607398,-0.0660264147607183,-0.108364257029618,0.0632342566194849,0.233232557513636,-0.0786807381721512,0.130050583631519,0.108781961151653,0.101832566945986,-0.0555357683739761
"Dst","yellow","yellow",-0.00897615372139272,0.00652880947946408,-0.162160667335522,-0.00869774934212496,0.0528383370932561,0.0454212687624101,0.058064731310594,-0.103927681355526,-0.131446018549544,-0.0800208420297521,0.143929648188001,0.300491601871148,-0.00718098597936614,-0.0323175975366222,0.134395075290829,-0.0560565819987852
"Ccdc115","tan","tan",0.00194781206412065,0.00642017905881211,-0.0427187917954597,0.0290871418593064,0.0234252294606901,0.00465415789250404,0.0101950131701646,0.00283121122729536,0.00439602986330703,0.00766769178239262,0.021062556278893,-0.0251853121295417,0.052764714876169,0.0296767678810365,0.00410086712947092,-0.0558679003512729
"Imp4","grey","grey",-0.0197801361297488,0.0457044405482123,0.0462967879950215,-0.0344344858048517,0.0249799472137968,0.0135549618332241,0.0614193775921511,0.00575432982071443,0.0208744124809738,-0.0171760194460099,0.0179870027281406,-0.0480210181269474,-0.00727065920062215,0.042505044967918,0.025558804563189,0.0603001895604499
"Amer3","grey","grey",0.0350304510395959,0.042536387872791,0.0111684662991512,0.0525589316927989,0.0414174172569304,0.0184435969276726,-0.00878383388456482,0.034504418363999,0.0141639496779087,0.0697446221829106,-0.0112627421762993,-0.00085815062724922,0.0410449551106613,0.0482733020662688,-0.0412795647169562,0.0176269811843687
"Arhgef4","grey","grey",0.00330634057478181,0.100054837426451,0.0481807503132214,0.0539095288412274,0.083287955205679,0.0302080047299486,0.050626614522916,-0.00403830951216149,-0.0336268686232401,0.0449036645268561,0.0505198012591533,-0.0420159945259607,0.0586694167108338,0.0543701939804548,0.00452929994186003,-0.000136685938448291
"Fam168b","grey","grey",0.0559882428397756,0.0246597645117052,0.0360988758220032,0.0244053616007945,-0.0280315068077071,-0.0309524283876267,-0.0308743743603163,0.0693808114721165,0.0593035453071652,0.0330512278296169,-0.058868737903109,-0.00957602911351045,-0.000182942119974202,-0.00924428328669302,-0.05036340381675,0.00733016867197282
"Plekhb2","grey","grey",0.00962709265849757,0.0437728355653608,0.159032913187246,0.0251103013589416,-0.00560914363275306,0.000670449922057318,-0.0138236506840911,0.0342008393221499,0.088736668545116,0.0231360940141789,-0.0127058508687898,-0.0721307668409786,-0.000167786073384858,0.0357220431040094,-0.00679401739353652,0.0421078532561611
