"gene_name","module","color","kME_blue","kME_grey","kME_brown","kME_turquoise","kME_green","kME_black","kME_yellow","kME_red"
"Coa5","grey","grey",-0.00597592311793879,0.0235222753492487,0.0476007383747741,0.025617848663986,0.0073603125301931,0.00164651172730501,-0.0177637230503164,-0.0104908975572948
"Unc50","grey","grey",-0.00350729857622213,0.0244543366237319,0.0683482589493071,0.0191991966049906,0.0163678256106623,0.0173072306110389,-0.0195461676538786,0.0185244271306753
"Mgat4a","blue","blue",0.133556579140108,0.0800161423889951,-0.025400324045728,-0.0797218112462586,0.128576823137575,0.0772721495042841,-0.0461596737145754,0.0528295471202555
"2010300C02Rik","blue","blue",0.194724987744147,0.126456270986696,-0.0019155360594782,-0.11630169612106,0.104884883706845,-0.0499376832205943,-0.0536393837241685,-0.0282749846061439
"Tsga10","grey","grey",0.0782686979749843,0.111662549360856,-0.0361355139271196,0.002969596343831,0.00501917603528232,0.0311314094433135,-0.0487566147029081,0.0614095527486443
"Mitd1","grey","grey",0.0652624427797704,0.0731589571450087,0.00911969496574778,-0.016012713559078,0.0293195701089906,0.0246665280007118,-0.043528723747464,0.00658807988772527
"Mrpl30","brown","brown",0.0169066630541826,0.0178089265059654,0.195487267426248,-0.0222736110852713,0.00946328677926121,-0.00377247138760985,0.000678040925119454,-0.0127420444342979
"Txndc9","grey","grey",-0.0345444652970851,-0.00916355193327373,0.0799515039595926,0.0257837830239278,-0.0282105143189337,-0.0196278325076809,0.0185811655520125,-0.0159021085751082
"Eif5b","turquoise","turquoise",-0.00409582580289126,0.0359127219635015,0.0192812016475124,0.0458306866373383,0.0209899683334431,0.0138166700789508,-0.0128575166955004,0.0146820311899061
"Rev1","turquoise","turquoise",0.0703851655292647,0.171313220892166,-0.0370755793228096,0.0597104009375497,0.0189906291180107,0.00270087094444876,-0.0595120529753229,0.034406211295275
"Aff3","blue","blue",0.399454666805351,0.264069408850809,-0.0576421877085656,-0.254736720531387,0.121759322887734,0.080247634273518,-0.0517532698568293,0.0786294786850202
"Gm16152","blue","blue",0.0712960863048198,0.0473015972513049,-0.00870127163017807,-0.049743989233463,0.0152596688825315,0.0022827963140922,-0.0188153807077729,-0.00346358296607026
"Lonrf2","turquoise","turquoise",-0.0906056595554806,0.0230959266072474,-0.00762994560023144,0.124358019670338,0.0252178652450356,0.0322298190938771,0.083487031480047,-0.0276023470181986
"Chst10","blue","blue",0.0878197715457477,0.0400774403613021,-0.00401802402064596,-0.104222395953891,0.004908289216117,-0.00625699959330519,0.0986336331599475,-0.0146060450881669
"Pdcl3","yellow","yellow",-0.00200371696742167,-0.0272311147342639,0.0595545543277971,-0.0449459036710981,-0.00062596978301251,-0.00213087807097176,0.107538194450282,-0.0393633230987669
"Npas2","grey","grey",0.0107098164253799,0.0907621549005354,-0.0428460766721721,0.0883336037415932,-0.131850637337288,-0.105512563105164,-0.0488368975565702,-0.0360271426970477
"Rpl31","grey","grey",0.000775231394878717,0.00352512132573125,0.0395947505568007,-0.00610352811553928,0.00921516789761972,0.0140984911780894,-0.00557865630624251,0.0194512055832149
"Tbc1d8","green","green",0.0973900983900695,0.0793395294531906,-0.0212895910670402,-0.0471978764686118,0.174083668562313,0.0504048985143472,-0.0189680027600617,-0.0347132173878897
"Cnot11","grey","grey",-0.00727872818976704,0.0058513922661662,0.0147268730788738,0.00200996502297455,-0.0141422355557134,-0.00135762198214939,0.0364086767486797,0.000390541975611175
"Rnf149","grey","grey",-0.00303910351184314,0.0394848929908399,-0.0116139979497798,0.0130315802230635,-0.0108943239515671,0.0141565859014288,0.0662327664234393,-0.0433592111431436
"Creg2","blue","blue",0.0923081917566828,0.0662561626858388,0.0492249769347247,-0.0574914847193621,-0.00494393259189657,3.9407938198302e-05,-0.0221439318367378,0.00853085814857377
"Map4k4","turquoise","turquoise",-0.072454990550003,0.0430869856162597,-0.0616969898992548,0.133712316777677,-0.0406085978291462,-0.00787551383903615,0.0471805452842823,0.0150812552818936
"Il1r2","grey","grey",0.00607123288630942,0.0589656261890081,-0.0272250604912457,0.0402954646193111,0.0110716516805285,0.00598174881177451,-0.00263224731155862,0.00351483744638679
"Gm16894","turquoise","turquoise",-0.00121296065521757,0.0747493534703668,-0.0119908561238941,0.0742200496938645,0.00556515118866864,-0.00757481849944894,-0.0399132940400808,0.01921320682757
"Slc9a2","turquoise","turquoise",-0.335464963018712,-0.0496390290531596,-0.0357250090530367,0.411472301010254,-0.131497527795678,-0.0812582035855856,-0.0433434969506696,-0.105821339834107
"Gm28175","blue","blue",0.199662101539661,0.186845134257784,-0.00688862641741822,-0.103263811266711,-0.0675906486519874,-0.0624291216842537,-0.044082848171311,-0.0535270153855077
"Pantr1","blue","blue",0.316697966119124,0.206141101513901,0.00364197346510256,-0.225990636180676,0.0424113421962829,0.0336278765168157,-0.0281711346151458,-0.0701820401660583
"Pou3f3","blue","blue",0.196942066161209,0.149410501944321,0.0603940271908635,-0.12842529952987,0.0170628973370773,0.0216373556815791,-0.0137003922314179,-0.0721897861525272
"Mrps9","grey","grey",0.0652363223891806,0.105603347150497,-0.0109483465808568,-0.00364692220452225,-0.0175696899834787,-0.0197961405415881,0.00834204522768182,0.0113797917239954
"Gpr45","turquoise","turquoise",-0.106331286044765,0.120936829147888,-0.0612956181750499,0.270671268030114,-0.122162161688355,-0.118901231482601,-0.104120998889359,0.0917450019836029
"Tgfbrap1","turquoise","turquoise",0.0387924283803067,0.0942814535209644,-0.00674144294482466,0.0353721094695852,0.00445236054378017,-0.000808935512464018,-0.0348456713478785,0.0201311913867574
