gene_name,kME,rank,in_kegg_dopaminergic_synapse
Apbb2,0.161236,784,0
Tln2,0.161114,785,0
Pde8a,0.160935,786,0
Itgae,0.160801,787,0
1810041L15Rik,0.160776,788,0
Gm7854,0.160774,789,0
Oxct1,0.160565,790,0
Bend4,0.160376,791,0
Gnl2,0.160234,792,0
Tfeb,0.160164,793,0
Hsd17b7,0.159737,794,0
Sqle,0.159473,795,0
Lima1,0.158827,796,0
Vcl,0.158795,797,0
4930402H24Rik,0.158683,798,0
4732471J01Rik,0.158423,799,0
Azin2,0.158387,800,0
Prkdc,0.158365,801,0
Gm38825,0.158144,802,0
Nhsl1,0.158140,803,0
4930567K20Rik,0.158097,804,0
Pakap,0.157711,805,0
Gm2117,0.157627,806,0
Vmn2r87,0.157586,807,0
Lin52,0.157386,808,0
Tmem207,0.157090,809,0
Taf4b,0.156825,810,0
Cys1,0.156650,811,0
Gss,0.156346,812,0
2810049E08Rik,0.155729,813,0
Cox19,0.155690,814,0
Spats2,0.155542,815,0
Gm26691,0.155507,816,0
Styk1,0.155108,817,0
Stau2,0.154960,818,0
Lmtk2,0.154904,819,0
Bdnf,0.154733,820,0
Gm27153,0.154574,821,0
Snta1,0.154544,822,0
Gm36146,0.154535,823,0
Rtbdn,0.154498,824,0
Fgf9,0.154457,825,0
Btbd3,0.154423,826,0
Hmgn3,0.154130,827,0
Pgm2l1,0.154080,828,0
Ltk,0.153915,829,0
Gm28539,0.153763,830,0
Ncoa7,0.153674,831,0
Kcna2,0.153460,832,0
Myh10,0.153094,833,0
Lrpprc,0.152943,834,0
Phlpp1,0.152861,835,0
Ptprj,0.152604,836,0
Ifrd1,0.152577,837,0
Neurl1b,0.152569,838,0
Camkk2,0.152480,839,0
Gm37168,0.152332,840,0
Cab39,0.152036,841,0
Platr25,0.151970,842,0
Lmln,0.151930,843,0
Mphosph9,0.151889,844,0
Cntln,0.151498,845,0
Hspa4l,0.151170,846,0
1700112D23Rik,0.151157,847,0
A730056A06Rik,0.151128,848,0
Rap1b,0.150728,849,0
Adamts20,0.150572,850,0
Spata6,0.150486,851,0
Bcas3,0.150484,852,0
Srrm3,0.150338,853,0
Gm4221,0.149931,854,0
Gm26979,0.149807,855,0
Slc44a1,0.149576,856,0
Nbeal1,0.149575,857,0
Elavl3,0.149442,858,0
Gm1992,0.149417,859,0
Cblb,0.149111,860,0
Fat1,0.149097,861,0
Arhgef3,0.149083,862,0
Gm14211,0.148906,863,0
Lrrk2,0.148663,864,0
Cdk19,0.148568,865,0
Nkd2,0.148309,866,0
Trak1,0.148299,867,0
Pde4a,0.148297,868,0
Esyt2,0.148240,869,0
Klc1,0.148230,870,0
Ebf1,0.148117,871,0
Slc25a27,0.147974,872,0
Gm49226,0.147916,873,0
Zc3hav1,0.147854,874,0
Tpcn2,0.147832,875,0
C230034O21Rik,0.147571,876,0
Dhcr7,0.147534,877,0
Cd55,0.146843,878,0
Tmprss5,0.146842,879,0
Fam126a,0.146611,880,0
Sppl2a,0.146477,881,0
4930452B06Rik,0.146412,882,0
Btbd7,0.146165,883,0
Ccnd3,0.146143,884,0
Cgn,0.146108,885,0
A930012L18Rik,0.146007,886,0
Ankk1,0.145784,887,0
H2-T22,0.145465,888,0
Gm46329,0.145147,889,0
Nkain1,0.145108,890,0
Gm15631,0.145065,891,0
Gnal,0.144801,892,1
Mettl27,0.144558,893,0
Pitrm1,0.144410,894,0
Gm15494,0.144113,895,0
Nars2,0.143790,896,0
Bicd2,0.143573,897,0
Ccser2,0.143406,898,0
Lmbr1,0.143231,899,0
Snrpn,0.143177,900,0
Slc22a14,0.142985,901,0
Rps6ka1,0.142741,902,0
Tmem241,0.142665,903,0
Ints9,0.142507,904,0
Rassf3,0.142498,905,0
Gm17359,0.142364,906,0
Acat2,0.142156,907,0
4930405A10Rik,0.142126,908,0
Rab6a,0.142075,909,0
Tmem47,0.141985,910,0
Tulp3,0.141952,911,0
Chrna3,0.141868,912,0
A830009L08Rik,0.141724,913,0
Cd46,0.141572,914,0
Esrra,0.140891,915,0
Tspan17,0.140775,916,0
Fchsd1,0.140772,917,0
Zfyve9,0.140769,918,0
Mipol1,0.140542,919,0
Hectd4,0.140399,920,0
Lpcat1,0.139984,921,0
Pmvk,0.139630,922,0
Gm4793,0.139472,923,0
Gm16036,0.139337,924,0
