gene_name,kME,rank,in_kegg_dopaminergic_synapse
Atg7,0.199604,594,0
A930012L18Rik,0.199123,595,0
Lrrk2,0.198817,596,0
Mapre2,0.198656,597,0
Ncoa3,0.198639,598,0
Gss,0.198380,599,0
Dync1h1,0.198335,600,0
Gm14211,0.198238,601,0
Pdzd8,0.198203,602,0
Pmepa1,0.198123,603,0
Ppargc1a,0.198032,604,0
Ammecr1,0.197547,605,0
1110019D14Rik,0.197521,606,0
Mcf2,0.196925,607,0
Gm47271,0.196742,608,0
Nars2,0.196550,609,0
Stx8,0.196549,610,0
Tas1r1,0.195836,611,0
Grhl1,0.195017,612,0
Plce1,0.194961,613,0
Gpm6b,0.194761,614,0
Rsu1,0.194464,615,0
9430037G07Rik,0.194290,616,0
Carnmt1,0.194259,617,0
Dpf3,0.194051,618,0
Pygb,0.193777,619,0
Gnptab,0.193589,620,0
Kcna2,0.193285,621,0
Snta1,0.192830,622,0
Ppm1k,0.190763,623,0
Gm7854,0.190623,624,0
Frmd3,0.190139,625,0
Gm46329,0.189655,626,0
Sorl1,0.189098,627,0
Dpysl5,0.188925,628,0
Xpc,0.188687,629,0
Pmvk,0.188319,630,0
Selenbp2,0.188171,631,0
Mphosph9,0.188107,632,0
Gm20629,0.188091,633,0
Nav2,0.187822,634,0
Bcan,0.186215,635,0
Mrc1,0.186142,636,0
Rab6a,0.186029,637,0
Laptm4b,0.184798,638,0
Zfp385a,0.184561,639,0
6030443J06Rik,0.184397,640,0
Ermp1,0.184373,641,0
Rras2,0.184022,642,0
Trim43c,0.183605,643,0
A930016O22Rik,0.183390,644,0
Rnf207,0.182610,645,0
Maoa,0.182499,646,1
Tmprss5,0.182215,647,0
Ankrd29,0.181137,648,0
1700094M23Rik,0.181092,649,0
Prpf38b,0.180872,650,0
Nr6a1,0.180757,651,0
Gm7694,0.180538,652,0
Kif1a,0.180400,653,0
Vmn2r85,0.179839,654,0
Psg16,0.179607,655,0
Gm15494,0.179460,656,0
Fbrsl1,0.179074,657,0
Gm35835,0.178539,658,0
Cubn,0.178446,659,0
Gm15417,0.178427,660,0
Gm26608,0.178320,661,0
2810049E08Rik,0.178284,662,0
Tubd1,0.178260,663,0
Ptp4a3,0.178259,664,0
Stard4,0.177868,665,0
Prss12,0.177464,666,0
Pgm2l1,0.176416,667,0
1700003F12Rik,0.176188,668,0
Tmod3,0.175797,669,0
2810032G03Rik,0.175633,670,0
Gm16000,0.173786,671,0
Atp2a3,0.173463,672,0
Neurl1b,0.173251,673,0
4930452B06Rik,0.173245,674,0
Col4a3bp,0.172723,675,0
Cldn34c1,0.171778,676,0
Arhgef3,0.171696,677,0
Abcc4,0.171666,678,0
Slc16a10,0.171453,679,0
Nrg4,0.171230,680,0
Gm11146,0.171221,681,0
Rassf5,0.171089,682,0
Gm37168,0.170812,683,0
E330009J07Rik,0.169670,684,0
Gm31508,0.169486,685,0
Bard1,0.169435,686,0
Zfp946,0.168865,687,0
Bcar1,0.168623,688,0
Cacna2d4,0.168522,689,0
Gm27153,0.168513,690,0
Gm15943,0.168460,691,0
Tfeb,0.168340,692,0
B230118H07Rik,0.167705,693,0
Itpk1,0.163923,694,0
A830082K12Rik,0.163641,695,0
Gm26573,0.163398,696,0
Depdc7,0.163375,697,0
Dennd6b,0.162231,698,0
Fads2,0.162064,699,0
Gm7480,0.161857,700,0
