"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_brown"
"PITPNM3","grey","grey",0.156543489827489,-0.0608790439447394,0.115069764798207,0.0780848796930114
"KIAA0753","turquoise","turquoise",0.247161460663348,-0.157277899025064,0.100339844974615,0.0432558528485259
"TXNDC17","blue","blue",-0.0721452425346592,0.144737239778677,0.0674617413558326,0.0595970458091945
"MED31","blue","blue",-0.0321881754039451,0.122875600201145,0.0950528623671408,0.0580443237292355
"ALOX12-AS1","turquoise","turquoise",0.303963568455222,-0.195590851700002,0.10593552277837,0.0323626826543659
"DLG4","blue","blue",-0.0338293371523451,0.112107325938038,0.111744931954451,0.137042327780343
"ACADVL","blue","blue",-0.0770624978870015,0.241425339953038,0.14477040436936,0.0481597969947098
"PHF23","blue","blue",-0.0819224417874122,0.165731233494087,0.102465106097988,0.103776808136368
"ELP5","grey","grey",-0.0279476088914721,0.0792238339159476,0.0612063689747116,0.0711704871342604
"EIF5A","blue","blue",-0.155447707392153,0.246875767311975,0.0855466340183877,0.0769199867249696
"GPS2","blue","blue",-0.146365767901747,0.25063830969626,0.107828841402933,0.107241056666328
"NLGN2","blue","blue",-0.0230593302328629,0.0919774924978736,0.0886511880617539,0.0575236661326285
"ZBTB4","brown","brown",0.0237581630950687,0.102603973220023,0.170792057846362,0.2137443315049
"POLR2A","blue","blue",-0.0269564745503872,0.142606209210527,0.132681108037798,0.0998473627373951
"EIF4A1","blue","blue",-0.133006370779619,0.236779765526211,0.116312769548604,0.0577462786934544
"MPDU1","blue","blue",-0.0641112112991182,0.128151711418376,0.0590642767988973,0.0393495725136042
"FXR2","blue","blue",-0.152868902810489,0.256306815640817,0.138637567426285,0.145794749479495
"SAT2","grey","grey",0.00950024679252402,0.083400829610228,0.097810209685957,0.0479289791903511
"ATP1B2","grey","grey",0.00600231685017044,-0.0353649709214779,-0.036861381083881,-0.0180745559854151
"EFNB3","grey","grey",-0.0273758681619311,0.0757522362009324,0.0634541027494145,0.059754710657999
"NAA38","blue","blue",-0.0775944701316893,0.156864613304003,0.0767242073633436,0.0700082271494668
"CHD3","grey","grey",-0.00672567160936686,0.0929812256647615,0.125816289089594,0.152963467042512
"TRAPPC1","blue","blue",-0.106910068665671,0.184140008332961,0.0778704786689873,0.0480918323376975
"TMEM107","grey","grey",-0.0363959039323573,0.0967628232454305,0.0588519273092881,0.0444401971027749
"BORCS6","blue","blue",-0.0733060338862349,0.116469054082396,0.0505337935828711,0.0431371391667016
"RANGRF","blue","blue",-0.0357217670009386,0.0858202787150895,0.0506330626006483,0.0439543784408839
"NDEL1","blue","blue",-0.0528991808849056,0.164448247753738,0.125256955138104,0.129013628199962
"MYH10","grey","grey",0.0171709062817118,0.136023855517022,0.190454551505413,0.159081955787062
"NTN1","turquoise","turquoise",0.239995373983151,-0.020635687282466,0.229760263044781,0.136115525088235
"STX8","turquoise","turquoise",0.298444452223506,-0.177403427920874,0.118696427960572,0.0402776973775182
"GAS7","turquoise","turquoise",0.0911347048210352,-0.0531918089627503,0.0425798666185844,0.0480856043254243
"SCO1","blue","blue",-0.0466284578155186,0.135148189614319,0.0986446637294323,0.0748150772757225
"SHISA6","turquoise","turquoise",0.16778086260836,-0.0855846227095827,0.0977757511066002,0.0613345014341968
"DNAH9","grey","grey",0.114128962941717,-0.0330942384194399,0.0820051580529434,0.0346529002736821
"MAP2K4","blue","blue",-0.0192068556458071,0.207393669489335,0.212309032624429,0.181886598879537
"ARHGAP44","turquoise","turquoise",0.342055631445469,-0.14286411894588,0.211657270558375,0.155386180507785
"ELAC2","blue","blue",-0.0602692370080386,0.156448215642861,0.0989693669076861,0.0713908315980827
"COX10","grey","grey",0.132517279134632,-0.0294787532653308,0.116832296327229,0.0702226593946935
"PMP22","grey","grey",0.0283590626143045,-0.0406173014892508,-0.00622316207030859,-0.0132109741254075
"AC015922.4","grey","grey",-0.0690890965136016,0.118918933944869,0.0747932036240873,0.100807558395354
"ZSWIM7","grey","grey",0.0735264088264201,0.0182629120792704,0.089929750678816,0.0537891369867344
"TTC19","grey","grey",0.031813445793886,0.139118924149899,0.177061786435011,0.120638134001069
"NCOR1","turquoise","turquoise",0.263041641038466,-0.0978906358339087,0.174391262160813,0.116332332626591
"PIGL","turquoise","turquoise",0.303288075465441,-0.177455246740443,0.120783790637967,0.0561853902372852
"CENPV","grey","grey",0.0165357762401694,0.0521525343652104,0.0816376486723301,0.0804793472378735
"UBB","blue","blue",-0.533318931531647,0.554321365208836,-0.00656756963103261,0.0314773117683548
"TRPV2","blue","blue",-0.0586952637920379,0.137677650832874,0.0852854988355189,0.0452549237366891
"AC098850.3","turquoise","turquoise",0.377933377848421,-0.239897051105941,0.138380759707927,0.0642293453075327
"MPRIP","grey","grey",0.0773428818089899,0.0786668440049106,0.187616901228158,0.135032945599337
"PLD6","blue","blue",-0.058992813678,0.12895957612603,0.0833684432610206,0.0763794032646201
"COPS3","blue","blue",-0.156618327735691,0.278474038248652,0.125276351029002,0.0742263972765945
"MED9","grey","grey",0.0331473938556734,0.0420120601892376,0.085791929542445,0.0547524282745934
"RASD1","grey","grey",-0.0673807070519144,0.109360866605741,0.0560843503650291,0.0338328693223184
"RAI1","turquoise","turquoise",0.193757436646341,-0.0797973712650827,0.13718898605304,0.0835550831824381
"SREBF1","turquoise","turquoise",0.18699837059893,-0.109750004458584,0.0827959956389094,0.0311214444383658
"TOM1L2","blue","blue",0.022318431969587,0.168464660443323,0.20755620373068,0.14164690628185
"ATPAF2","grey","grey",0.0994579499264192,-0.0161641974725238,0.0941426014505383,0.0489403427506758
"DRG2","blue","blue",-0.0356324553268941,0.120145335917555,0.0853662354840881,0.0270753251170433
"ALKBH5","blue","blue",-0.0490241143107229,0.167175469069353,0.148120814599552,0.147106014198914
"FLII","blue","blue",-0.143322422833681,0.261827146095361,0.12561845739588,0.0667725185453183
"TOP3A","grey","grey",0.151269658047553,-0.075997768595105,0.0837570835899965,0.0540328688603045
"SMCR8","grey","grey",-0.0165919304781019,0.0522704575834286,0.0591729252639073,0.049540745965305
"PRPSAP2","grey","grey",0.0644284080799178,0.0396372875178491,0.127794980040452,0.0704237541538658
"EPN2","turquoise","turquoise",0.224565370514441,-0.109303793312942,0.113125616265516,0.0586661265455955
"RNF112","blue","blue",-0.0473056923767058,0.117189128996776,0.0827315505967439,0.0429949289841984
"ALDH3A2","blue","blue",-0.0863862612708505,0.203101407297505,0.134314458298588,0.0935384580412141
"ULK2","turquoise","turquoise",0.267018121711491,-0.149485634973322,0.124085592526711,0.0696857176860984
"AKAP10","turquoise","turquoise",0.145157119768148,-0.0321684619138477,0.119695057665906,0.087888940382417
"SPECC1","turquoise","turquoise",0.378450241626908,-0.228771684737813,0.147037696049709,0.0706591703553017
"CCDC144NL-AS1","blue","blue",-0.0928454799613736,0.19740382878082,0.11007133334501,0.107183325099322
"USP22","blue","blue",-0.163726844398445,0.293661662183327,0.156425043167598,0.156253391868971
"DHRS7B","grey","grey",0.100148269069181,0.0329484923887539,0.136599315131502,0.0434022282311516
"TMEM11","blue","blue",-0.0537310007336472,0.107832468810401,0.0579294710049074,0.0619435612733041
"MAP2K3","grey","grey",0.0642301036950049,0.019874342798297,0.103614012733923,0.0747482094820237
"KCNJ12","grey","grey",-0.0462785634836509,0.0901177198644095,0.072341217593405,0.0879802683168126
"C17orf51","grey","grey",0.0510193949637725,0.0275291281690563,0.101730555982547,0.087106658970507
"MTRNR2L1","grey","grey",0.0112542447630686,0.0430265776713981,0.0723328395644503,0.0628587522754952
"WSB1","turquoise","turquoise",0.521709942066847,-0.376965917164378,0.126546639763242,0.00628708391374339
"KSR1","turquoise","turquoise",0.322528149734247,-0.200993683559378,0.110321474899896,0.0410126251449433
"NLK","turquoise","turquoise",0.253963476749053,-0.0813764681646134,0.190859535738136,0.160717011617623
"IFT20","grey","grey",0.0866962239753245,-0.00950433962002429,0.0789865249776239,0.0437165975375194
"POLDIP2","blue","blue",-0.065530362295798,0.155717309602786,0.104307012372106,0.0904504175436128
"TMEM199","grey","grey",-0.034251572863627,0.0849277110469339,0.0544870780594488,0.0329945700824172
"SARM1","turquoise","turquoise",0.227047364235112,-0.106420445520125,0.13119426869839,0.0629640286621669
"KIAA0100","grey","grey",0.0303998575923256,0.0482215789531825,0.111798524957066,0.13959652383103
"SDF2","blue","blue",-0.0482545391320428,0.103832123542002,0.0659657584406508,0.032091351032782
"SUPT6H","blue","blue",-0.00745948976248782,0.10918600786354,0.115386278847879,0.0435269072635292
"RPL23A","grey","grey",-0.050685689941223,0.0678115538513373,0.0209491551247834,0.0189581373753574
"FAM222B","turquoise","turquoise",0.392402826654826,-0.207897732685091,0.191798445069411,0.113570789912418
"ERAL1","grey","grey",-0.027736556718863,0.0894001615405099,0.0651535963438014,0.0372905371646593
"FLOT2","grey","grey",0.00303306490288284,0.105730876144143,0.130857810108834,0.110332781057277
"DHRS13","grey","grey",-0.053023648697383,0.0953970563875064,0.0593323725573013,0.0335169634209812
"PHF12","turquoise","turquoise",0.166603199057172,-0.0806582915856559,0.0965366734273119,0.0492617476145709
"SEZ6","blue","blue",-0.0696087884351742,0.136311954888427,0.0786600215988248,0.0414189276563799
"MYO18A","grey","grey",0.0928475622158448,0.0108416923256105,0.117546711997597,0.0643987261677576
"NUFIP2","brown","brown",0.0143745287884945,0.108758477771627,0.169169770195784,0.203406588126595
"TAOK1","brown","brown",0.144085551094939,0.0299623865812292,0.226489192109182,0.336452456241909
"ABHD15-AS1","grey","grey",0.0699823646988689,-0.0021502252719011,0.0836465512317105,0.057449437935803
"GIT1","grey","grey",0.00765153052625664,0.101999703988074,0.150515090026527,0.141496989518321
"CORO6","turquoise","turquoise",0.241203450776029,-0.150246535911112,0.0911810708119102,0.018463090205682
"SSH2","turquoise","turquoise",0.559177428100696,-0.362490559759804,0.188549362381482,0.0804479966976032
"AC023389.1","turquoise","turquoise",0.305043890279184,-0.205688515490148,0.0936357881484148,0.00852943268993844
"EFCAB5","turquoise","turquoise",0.249853285439072,-0.0945555688234964,0.159040578527518,0.098399421642005
"NSRP1","grey","grey",0.100614577350603,0.000752909703435195,0.107710058902455,0.0735150381342193
"BLMH","grey","grey",0.0170987757783605,0.0475190152081602,0.0761083958500244,0.0355214551865769
"CPD","grey","grey",0.0344929729390256,0.0427591432277603,0.0987173854257102,0.0569328610080396
"GOSR1","grey","grey",0.0833355083854541,0.0341880418442929,0.153261481660344,0.12335455704372
"CRLF3","turquoise","turquoise",0.225541141427504,-0.128803046455445,0.100160355275657,0.041707626342212
"TEFM","grey","grey",0.125341448070089,-0.042369213805816,0.090322127986181,0.0456850304659928
"NF1","turquoise","turquoise",0.287817003187843,-0.108419857623051,0.206261600028426,0.207999231940135
"OMG","blue","blue",-0.102691755214578,0.161724930587577,0.0774909527136389,0.0423406221315877
"RAB11FIP4","grey","grey",0.146320032695316,0.0199844963775432,0.19766417728052,0.174359255794694
"COPRS","blue","blue",-0.130097847527917,0.237801976955245,0.101930090827044,0.0945159184727781
"UTP6","grey","grey",0.11614069691255,-0.0390758877498258,0.0835242340653267,0.0343895144408379
"SUZ12","turquoise","turquoise",0.191752418355222,-0.0710090538682571,0.142664195927378,0.103445524063037
"LRRC37B","turquoise","turquoise",0.299328830097057,-0.170759234397506,0.136696567713046,0.0775847616140356
"RHOT1","grey","grey",0.0667549887174382,0.0678480858533863,0.155707569163785,0.0908361601579998
"C17orf75","grey","grey",-0.0235993756862099,0.0850127254158465,0.0775792576063491,0.063050942468322
"ZNF207","grey","grey",0.092268522373472,0.0431961914839656,0.152306151683335,0.0682925984638262
"PSMD11","blue","blue",-0.0297079219454086,0.1636939165844,0.162054819381125,0.10134997629309
"CDK5R1","blue","blue",-0.111153036870558,0.205237467655282,0.124231418896919,0.134547432706381
"MYO1D","turquoise","turquoise",0.293101060386008,-0.186205482965978,0.0843064478744797,0.0154133551767339
"ASIC2","turquoise","turquoise",0.236831603877795,-0.0953471418089392,0.157913994328614,0.101171094775303
"LIG3","grey","grey",-0.0224537026598481,0.0851539709135147,0.0756697667451612,0.04114174545451
