"gene_name","module","color","kME_yellow","kME_blue","kME_grey","kME_brown","kME_turquoise","kME_red","kME_green"
"Chd1","turquoise","turquoise",0.0174675643233506,-0.0195096527800283,0.0395875965249052,-0.0242326622187982,0.0527035086824331,0.0281390577486386,-0.0134669600490795
"Rgmb","green","green",0.0822199684261804,-0.00506045138573229,-0.00481168823394051,0.0236871297760967,-0.0129002121192188,-0.0839883520000878,0.105822840112082
"BC002059","grey","grey",0.0543403991734214,0.0127472737471701,0.0466471986874205,-0.0260806600119768,0.0105521776060621,0.00909094651012799,0.0163830770209874
"AC129328.1","turquoise","turquoise",0.0214200992435431,-0.0403820037101188,0.00140088923702569,-0.00787429838113133,0.0554184768109977,0.0105981942588269,-0.012203332600787
"Gm6712","grey","grey",-0.00894742072861549,0.0189068657838313,0.0620338077109627,-0.00315514244337146,0.0198476361826945,0.0459197860080056,-0.00463450018252423
"AC154200.1","grey","grey",-0.00270015893136445,0.0149725179955014,0.0409815676666552,0.113914234929144,-0.00316968944847756,0.045707368258186,-0.0297795550317889
"Riok2","grey","grey",0.00382213814548095,0.0709744700929692,0.0860662732007593,0.00643448100681474,-0.041259464476901,0.0473338387541886,-0.00032770195334217
"Gm26873","blue","blue",-0.205197035215214,0.403843478437833,0.225695866743129,0.0723252299883437,-0.34560004241832,0.100381618258311,0.127931357393704
"Lix1","blue","blue",-0.272841742069196,0.613280469420919,0.347832980350856,0.0756412523438129,-0.520730748516072,0.135901354570103,0.238536294139311
"Lnpep","blue","blue",-0.0987666699708041,0.31299681922495,0.253018737938133,0.0100721129972361,-0.214176403678641,0.137092709523436,0.0626452109425423
"Spaca6","grey","grey",-0.00277105470731976,0.100475699214427,0.158473830297658,-0.0360182242684725,-0.020683248304323,0.061632975243991,0.0269021310607674
"Has1","grey","grey",0.022077081297556,0.0572919877670948,0.0609033816910597,-0.023470757962662,-0.0298043405314777,0.0505870639249075,-0.00225767273118009
"Ppp2r1a","brown","brown",-0.0176611808422113,0.00748908864439288,-0.00563631250319373,0.206785792766207,-0.0243050637235084,-0.0192560033337067,0.000431841766999016
"Zfp160","turquoise","turquoise",0.0143295942783565,-0.065908577270469,0.0362451643810754,-0.0369248061960891,0.100647984794618,0.0235884684823299,-0.0276729900909874
"Zfp677","grey","grey",0.0411806620121191,0.0533077098255467,0.0590843773447755,-0.0134544966152472,-0.027291803085317,0.018486108949976,0.0324106865426616
"Zfp54","grey","grey",0.0143126697643993,0.05056846808125,0.0627121476042573,0.0241202941246191,-0.025692280315562,0.0652692312043458,-0.0352075787833721
"Zfp51","grey","grey",0.0105428803108971,0.00909294890447514,0.0298648696903594,0.0116168115906915,0.00189878480673145,0.00782352718747933,0.0173345712565914
"Zfp53","turquoise","turquoise",0.0126414082072859,-0.0956100702421988,-0.018557753932572,-0.0273939759678909,0.108785173931832,0.0126027390702544,-0.0651773546139551
"9330136K24Rik","grey","grey",0.0148893543828467,0.0216647163563587,0.0106908858735847,-0.0214789151882158,-0.0156963808970033,0.00548915277586438,0.00150293737301391
"Zfp52","grey","grey",-0.0107914937455149,0.0121321500186569,0.0461452230254576,-0.0208503882318773,0.0185918295264527,0.0450449665992082,-0.0185125685487012
"Zfp948","grey","grey",-0.026174970894312,0.00340234371757297,0.0700041955156771,-0.0170878280047976,0.0492121556272993,0.0858095537815421,-0.0622685099364633
"Zfp983","turquoise","turquoise",-0.00307272402816944,-0.0193519395304192,0.0210843862637618,0.0054146004419934,0.0381460479941239,0.0210872694836447,-0.0187710385156977
"Zfp760","turquoise","turquoise",-0.0046308797765767,-0.0339638809948739,0.0227335993966014,-0.00561260042219776,0.058124555228736,-0.00722041569791913,-0.00788577784085558
"Zfp229","grey","grey",0.0103957553141202,0.0136882117658687,0.0171238644999917,0.0103338349277592,-0.0125568028321994,-0.00942265529451296,0.0206178056603265
"Zfp820","blue","blue",0.0250498527193629,0.0786070326352514,0.0744663696798298,0.000913727810212938,-0.0519146912479609,0.0772840604203719,-0.0225759186606756
"Zfp995","grey","grey",0.0156370448876281,0.0230455318973446,0.0695550087778642,0.00413323701741836,0.00903877609861501,0.0431694919653402,-0.00944230412522735
"Zfp942","turquoise","turquoise",0.0233551061544764,-0.031858224862374,0.0790607246163028,-0.028809999252242,0.095733195141909,0.0527266471203934,-0.0183199447195466
"Zfp943","blue","blue",0.000415098499452166,0.177837553406432,0.194465715774421,-0.0302284705628818,-0.0873727401727186,0.135882933115581,0.00534262003752741
"Zfp947","grey","grey",0.00643938177386126,0.0369767365225956,0.0365326904405621,0.0275890248339435,-0.0247868305092437,0.0141488674723197,0.00900785585439822
"Zfp994","grey","grey",-0.0232761505902526,0.000491085452707134,0.0261924502676113,0.0188524839882319,0.00432382479180385,0.00477646209708501,-0.001423746813811
"Zfp944","grey","grey",0.0719348907869171,0.0403388608236049,0.0727768945631692,0.00132667497963547,-0.0029317996995964,0.0522901011406805,0.00404493618092086
"Zfp758","grey","grey",0.044233454100278,0.0473949607385523,0.0734007491024994,-0.0180774080813745,-0.0183130755537158,0.0545153514398371,-0.0067787795179597
"Zfp946","blue","blue",0.10117772489241,0.129820234916032,0.124532254262243,-0.00228514652090883,-0.0799657135922112,0.0847150777082777,-0.00810519656332338
"Gm5493","grey","grey",0.00319001554877896,-0.00669186384045705,0.0422085667853626,-0.00445215710760526,0.0278438333060567,0.0090366929423047,0.00576356021493521
"Gm16386","turquoise","turquoise",0.0387770463738192,-0.00991938176801168,0.0344018487210068,-0.0258091888218324,0.0342200171259042,0.0045019674347189,0.00885923634104347
